unique_id,ds,y
assam,2019-12-01,683359.0
assam,2020-01-01,790252.0
assam,2020-02-01,867822.0
assam,2020-03-01,806833.6
assam,2020-04-01,745845.2
assam,2020-05-01,684856.8
assam,2020-06-01,623868.4
assam,2020-07-01,562880.0
assam,2020-08-01,725277.0
assam,2020-09-01,891098.0
assam,2020-10-01,913058.0
assam,2020-11-01,886765.0
assam,2020-12-01,958087.0
assam,2021-01-01,912884.0
assam,2021-02-01,972927.0
assam,2021-03-01,1072478.0
assam,2021-04-01,956309.0
assam,2021-05-01,629389.0
assam,2021-06-01,719838.0
assam,2021-07-01,826408.0
assam,2021-08-01,938583.0
assam,2021-09-01,1053500.0
assam,2021-10-01,932220.0
assam,2021-11-01,979463.0
assam,2021-12-01,1070986.0
assam,2022-01-01,1021890.0
assam,2022-02-01,1049812.0
assam,2022-03-01,1216841.0
assam,2022-04-01,1099376.0
assam,2022-05-01,1040565.0
assam,2022-06-01,982735.0
assam,2022-07-01,1080061.0
assam,2022-08-01,1188817.0
assam,2022-09-01,1226099.0
assam,2022-10-01,1021960.0
assam,2022-11-01,1160331.0
assam,2022-12-01,1212292.0
assam,2023-01-01,1127359.0
assam,2023-02-01,1164347.0
assam,2023-03-01,1338957.0
assam,2023-04-01,1170700.0
assam,2023-05-01,1253670.0
assam,2023-06-01,1138858.0
assam,2023-07-01,1137218.0
assam,2023-08-01,1244862.0
assam,2023-09-01,1317590.0
assam,2023-10-01,1237380.0
assam,2023-11-01,1216698.0
assam,2023-12-01,1284681.0
assam,2024-01-01,1227501.0
assam,2024-02-01,1351317.0
assam,2024-03-01,1454437.0
assam,2024-04-01,1256623.0
assam,2024-05-01,1372887.0
assam,2024-06-01,1203096.0
assam,2024-07-01,1214338.0
assam,2024-08-01,1331311.0
assam,2024-09-01,1387514.0
assam,2024-10-01,1258548.0
assam,2024-11-01,1243048.0
assam,2024-12-01,1318716.0
assam,2025-01-01,1374161.0
assam,2025-02-01,1370724.0
assam,2025-03-01,1548457.0
assam,2025-04-01,1425121.0
assam,2025-05-01,1452062.0
assam,2025-06-01,1404068.0
assam,2025-07-01,1563741.0
assam,2025-08-01,1610079.0
assam,2025-09-01,1464748.0
assam,2025-10-01,1557470.0
assam,2025-11-01,1670507.0
assam,2025-12-01,1760817.0
assam,2026-01-01,1714668.0
assam,2026-02-01,1767807.0
assam,2026-03-01,1816671.0
assam,2026-04-01,1622719.0
assam,2026-05-01,1702718.0
assam,2026-06-01,1646959.0
assam,2026-07-01,1626856.0
bihar,2018-07-01,616137.0
bihar,2018-08-01,735605.0
bihar,2018-09-01,866631.0
bihar,2018-10-01,932324.0
bihar,2018-11-01,672695.0
bihar,2018-12-01,794369.0
bihar,2019-01-01,1006282.0
bihar,2019-02-01,1001579.0
bihar,2019-03-01,1089416.0
bihar,2019-04-01,1178803.0
bihar,2019-05-01,1115587.0
bihar,2019-06-01,921128.0
bihar,2019-07-01,864120.0
bihar,2019-08-01,971572.0
bihar,2019-09-01,1073899.0
bihar,2019-10-01,1020897.0
bihar,2019-11-01,942411.0
bihar,2019-12-01,988654.0
bihar,2020-01-01,1178492.0
bihar,2020-02-01,1167108.0
bihar,2020-03-01,1096206.6
bihar,2020-04-01,1025305.2
bihar,2020-05-01,954403.8
bihar,2020-06-01,883502.4
bihar,2020-07-01,812601.0
bihar,2020-08-01,935657.0
bihar,2020-09-01,1090993.0
bihar,2020-10-01,1254513.0
bihar,2020-11-01,1040710.0
bihar,2020-12-01,1129862.0
bihar,2021-01-01,1166882.0
bihar,2021-02-01,1283150.0
bihar,2021-03-01,1471488.0
bihar,2021-04-01,1319873.0
bihar,2021-05-01,796256.0
bihar,2021-06-01,1054668.0
bihar,2021-07-01,1071611.0
bihar,2021-08-01,1124247.0
bihar,2021-09-01,1281721.0
